,id,loc,correct_location
163,1.4601962776988918e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
164,1.460958217270403e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
165,1.4627449135447245e+18,España,Spain
166,1.4628162807052206e+18,A Patient Lead Campaign,A Patient Lead Campaign
167,1.4634255850997268e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
168,1.4634284246100664e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
169,1.4634304590151844e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
170,1.4634311348224737e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
171,1.4634315027887964e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
172,1.4634730595920896e+18,London ,"London, England, United Kingdom "
173,1.4634768401405297e+18,Ireland,Ireland
174,1.463521025010946e+18,"London, England","London, England, United Kingdom, England, United Kingdom"
175,1.4635303109315584e+18,Aberdeen,Aberdeen
176,1.4635428122853253e+18,"Scotland, United Kingdom","Scotland, England, United Kingdom"
177,1.4635446397686415e+18,France,France
178,1.4635748340473403e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
179,1.4636754671695135e+18,North Wales,North Wales
180,1.463799593574015e+18,United Kingdom,"England, United Kingdom"
181,1.465655436959494e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
182,1.465655680535257e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
183,1.4656586663051305e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
184,1.4656590894307492e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
185,1.465670586403799e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
186,1.4678250255165112e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
187,1.470755793335206e+18,Ireland,Ireland
188,1.47101546554812e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
189,1.4710159204410696e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
190,1.4710161006830346e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
191,1.47101674648422e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
192,1.4710171464823685e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
193,1.471017362514133e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
194,1.471017572350972e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
195,1.471017993702359e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
196,1.4710184368682598e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
197,1.4710189003767194e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
198,1.4710191375227167e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
199,1.4710193128697815e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
200,1.4710199708638003e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
201,1.471020084134957e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
202,1.4710209537233592e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
203,1.4710227292100403e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
204,1.4710234701798031e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
205,1.4710247516783002e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
206,1.4710251158947963e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
207,1.4710252567564e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
208,1.4710254325480284e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
209,1.471025789252551e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
210,1.4710259891364045e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
211,1.4710260929663508e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
212,1.4710262082762015e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
213,1.471027244839674e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
214,1.471028118899069e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
215,1.4710302622219674e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
216,1.471031019851567e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
217,1.4710333351998054e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
218,1.4710335409975296e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
219,1.4710344603050762e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
220,1.4710347965833994e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
221,1.471038569963737e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
222,1.471040046463656e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
223,1.4710410863113503e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
224,1.4710426197155062e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
225,1.471043432550445e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
226,1.4710461194635674e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
227,1.4710498968955412e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
228,1.4710536691309036e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
229,1.4710547357633782e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
230,1.471057444042199e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
231,1.4710612195702415e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
232,1.471064995374854e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
233,1.4710665018598646e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
234,1.4710668521513656e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
235,1.4710671556218388e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
236,1.4710675063830938e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
237,1.4710687689315082e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
238,1.471072551208198e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
239,1.4710763183892275e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
240,1.4710763190227026e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
241,1.4710815491814236e+18,"Toronto, Ontario","Toronto, Ontario"
242,1.4710822434310554e+18,"Toronto, Ontario","Toronto, Ontario"
243,1.4710851265746534e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
244,1.4710914178543206e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
245,1.471098967635157e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
246,1.4711070999418757e+18,Solihull,Solihull
247,1.4711077758873846e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
248,1.4711128088468398e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
249,1.4711198554452296e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
250,1.471122875386106e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
251,1.4711262973971046e+18,"Northern Ireland, United Kingd","Northern Ireland, United Kingd"
252,1.4711279085173965e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
253,1.4717649204967096e+18,"Dundee, Scotland","Dundee, Scotland"
254,1.4786731882383688e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
255,1.4787168909440942e+18,"Toronto, ON","Toronto, ON"
256,1.4791846000144138e+18,"Nova Scotia, Canada","Nova Scotia, Canada"
257,1.483401258262274e+18,"Hampshire, UK","Hampshire, England, United Kingdom"
258,1.4834446445203825e+18,Suisse et France,Suisse Ethiopia France
259,1.483444807930425e+18,Suisse et France,Suisse Ethiopia France
260,1.484437515129942e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
261,1.484480377817383e+18,The Open University,The Open University
262,1.485971969828954e+18,Ireland,Ireland
263,1.4862567032052613e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
264,1.4865968756838769e+18,🇿🇦,🇿🇦
265,1.486617781449724e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
266,1.4870094874835067e+18,Ireland,Ireland
267,1.4885099114745733e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
268,1.4891772990523433e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
269,1.493003459527852e+18,"New York, NY","New York, New York, United States of America"
270,1.4964133997895762e+18,"London, England","London, England, United Kingdom, England, United Kingdom"
271,1.496426653966291e+18,"London, England","London, England, United Kingdom, England, United Kingdom"
272,1.4964674789768684e+18,"Toronto, Ontario","Toronto, Ontario"
273,1.4982858817147904e+18,"Vienna, Austria","Vienna, Austria"
274,1.49862826745208e+18,Ireland,Ireland
275,1.4989440336404398e+18,Melbourne,Melbourne
276,1.4989808041767936e+18,"Edinburgh, Scotland","Edinburgh, Scotland"
277,1.503725549461463e+18,"Oakville, Ontario","Oakville, Ontario"
278,1.504078293406032e+18,"Dundee, Scotland","Dundee, Scotland"
279,1.506532274577326e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
280,1.5065347783083745e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
281,1.50654443344939e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
282,1.5065618338885878e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
283,1.506891131858137e+18,"London, England","London, England, United Kingdom, England, United Kingdom"
284,1.5072464845378888e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
285,1.5072476891337032e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
286,1.507249473835176e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
287,1.5073211981490831e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
288,1.5073216002695905e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
289,1.5073745092628849e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
290,1.5073761532496036e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
291,1.5095796666460815e+18,Ireland,Ireland
292,1.5115924758565396e+18,Melbourne,Melbourne
293,1.5123423441122222e+18,🇨🇭🇪🇸,🇨🇭🇪🇸
